brand,model,year,flex,shape,price,available_lengths,ground_tricks,park,carving,run_tricks,powder,image_url,url
011 Artistic,BALANCE,2026,3,flat,85800,138 / 142 / 148 / 150 / 152,9,6,3,4,2,,
011 Artistic,BALANCE SPIN,2026,3,double_camber,94600,138 / 142 / 148 / 150 / 152,10,7,3,5,2,,
011 Artistic,DOUBLE FLY,2026,5,double_camber,111100,148 / 150 / 152 / 154 / 156,8,7,4,7,4,,
011 Artistic,DOUBLE FLY SPIN,2026,2,double_camber,104500,139 / 143 / 149 / 151,10,8,2,4,1,,
011 Artistic,X FLY,2026,5,hybrid_camber,111100,148 / 150 / 152 / 154 / 156,7,6,5,7,5,,
011 Artistic,X FLY SPIN,2026,5,hybrid_camber,114300,148 / 150 / 152 / 154,8,7,4,7,4,,
011 Artistic,ZERO,2026,4,flat,95700,148 / 150 / 152 / 154,9,7,3,5,3,,
ACADEMY,Graduate,2026,5,hybrid_camber,60500,150 / 153 / 156 / 159,6,6,6,6,5,,
ACADEMY,Master,2026,6,camber,74800,153 / 156 / 159 / 162,4,5,8,7,6,,
ACADEMY,Propacamba,2026,5,hybrid_camber,68200,150 / 153 / 156 / 159,6,7,6,6,5,,
ACADEMY,Propaganda,2026,3,flat,52800,147 / 150 / 153 / 156,8,8,3,5,3,,
ACADEMY,Team,2026,5,hybrid_camber,52800,151 / 154 / 157,6,7,6,6,5,,
ALLIAN,ATLANTIS,2026,6,hybrid_camber,79200,152 / 155 / 158 / 160,5,5,7,8,7,,
ALLIAN,DAMAGE,2026,5,camber,75900,150 / 152 / 154 / 156,6,7,7,7,5,,
ALLIAN,FREE LINE,2026,6,hybrid_camber,85800,150 / 153 / 156 / 159,4,4,7,7,7,,
ALLIAN,PRISM,2026,4,hybrid_camber,72600,148 / 150 / 152 / 155,8,8,5,6,5,,
ALLIAN,PRISM GIRL,2026,4,hybrid_camber,68200,138 / 142 / 146 / 150,8,8,5,6,5,,
ALLIAN,PRISM INVISIBLE,2026,4,double_camber,82500,148 / 150 / 152 / 154,9,7,4,6,3,,
ALLIAN,PRISM LTD,2026,5,double_camber,85800,148 / 150 / 152 / 154,9,8,3,6,3,,
ALLIAN,VIVIAN,2026,3,rocker,63800,139 / 143 / 147 / 150,9,7,3,4,5,,
AMPLID,Kill Switch,2026,7,camber,110000,155 / 158 / 161,3,3,8,7,7,,
AMPLID,Pentaquark,2026,7,camber,121000,156 / 159 / 162 / 165,3,3,9,8,7,,
AMPLID,Singular,2026,4,hybrid_camber,88000,149 / 152 / 155 / 158,7,8,5,5,4,,
AMPLID,Souly Grail,2026,6,rocker,104500,152 / 156 / 160,3,3,5,5,9,,
AMPLID,UNW8,2026,5,hybrid_camber,99000,152 / 155 / 158 / 161,5,5,7,7,6,,
ARBOR,A-Frame,2026,7,hybrid_camber,82500,155 / 158 / 161,3,3,6,6,9,,
ARBOR,Bryan Iguchi Pro,2026,7,camber,93500,156 / 159 / 161 / 164,2,3,8,7,8,,
ARBOR,Coda,2026,6,camber,82500,153 / 156 / 159 / 162,4,5,8,7,6,,
ARBOR,Draft,2026,3,rocker,60500,149 / 152 / 155 / 158,8,7,3,5,5,,
ARBOR,Element,2026,5,rocker,71500,152 / 155 / 158 / 161,7,7,5,6,5,,
ARBOR,Formula,2026,6,camber,71500,152 / 155 / 158 / 161,5,5,7,7,5,,
ARBOR,Swoon,2026,5,hybrid_camber,71500,143 / 147 / 151,5,6,6,6,6,,
ARBOR,Veda,2026,5,hybrid_camber,71500,142 / 145 / 148 / 151,5,6,5,6,6,,
ARBOR,Westmark,2026,4,rocker,74800,150 / 153 / 156 / 159,7,8,4,5,4,,
BATALEON,Blow,2026,3,flat,71500,145 / 149 / 152 / 155,8,8,3,4,3,,
BATALEON,Camel Two,2026,5,hybrid_camber,88000,152 / 155 / 158 / 161,6,6,6,7,7,,
BATALEON,Evil Twin,2026,5,hybrid_camber,85800,151 / 154 / 157 / 160,7,8,5,6,4,,
BATALEON,Goliath,2026,7,camber,93500,155 / 157 / 159 / 162,3,4,8,7,7,,
BATALEON,Party Wave,2026,5,rocker,79200,151 / 154 / 157,5,5,4,6,9,,
BATALEON,Push Up,2026,4,hybrid_camber,82500,141 / 144 / 147 / 150,7,7,5,6,5,,
BATALEON,Surfer,2026,6,hybrid_camber,88000,151 / 154 / 157 / 160,4,4,6,6,9,,
BATALEON,Wallie,2026,4,hybrid_camber,60500,148 / 151 / 154 / 157,8,8,3,5,3,,
BATALEON,Whatever,2026,3,flat,68200,148 / 151 / 154 / 157,8,7,3,5,4,,
BC STREAM,DR,2026,8,camber,143000,154 / 157 / 160 / 163,2,2,10,6,5,,
BC STREAM,NW,2026,7,hybrid_camber,147400,150 / 153 / 156 / 159,3,3,8,7,7,,
BC STREAM,RS,2026,8,camber,130900,150 / 153 / 156 / 159,2,2,9,7,5,,
BC STREAM,S,2026,6,camber,121000,149 / 152 / 155 / 158,5,5,8,7,5,,
BURTON,Alekesam,2026,5,hybrid_camber,101200,140 / 152 / 156 / 160,6,5,7,7,7,,
BURTON,Blossom,2026,5,camber,90200,144 / 149 / 152 / 155 / 158 / 162,6,7,6,7,5,,
BURTON,Cartographer,2026,5,hybrid_camber,88000,152 / 155 / 158 / 162,5,5,6,7,8,,
BURTON,Counterbalance,2026,6,hybrid_camber,88000,142 / 146 / 150 / 154 / 158 / 162,4,4,7,8,7,,
BURTON,Cultivator,2026,2,flat,59400,145 / 150 / 155 / 160,5,5,3,4,4,,
BURTON,Custom,2026,6,camber,99000,150 / 154 / 156 / 158 / 162,5,6,8,7,6,,
BURTON,Custom Flying V,2026,6,hybrid_camber,92400,150 / 154 / 156 / 158 / 162,5,6,6,7,7,,
BURTON,Custom X,2026,8,camber,115500,150 / 154 / 156 / 158 / 162,3,4,9,7,5,,
BURTON,Family Tree High Fidelity,2026,7,hybrid_camber,115500,150 / 154 / 157 / 160,3,3,8,7,8,,
BURTON,Family Tree Sketch Artist,2026,6,camber,99000,147 / 152 / 157 / 162,4,4,6,7,9,,
BURTON,Family Tree Smooth Operator,2026,6,hybrid_camber,132000,150 / 154 / 158,4,4,7,7,8,,
BURTON,Feelgood,2026,5,camber,93500,140 / 144 / 146 / 149 / 152,5,6,8,7,6,,
BURTON,Good Company,2026,3,hybrid_camber,66000,135 / 148 / 152 / 155 / 159,8,7,4,5,4,,
BURTON,Instigator,2026,3,flat,57200,150 / 155 / 160,7,6,4,4,4,,
BURTON,Process,2026,4,hybrid_camber,83600,148 / 152 / 155 / 157 / 159,7,8,5,6,5,,
BURTON,Rewind,2026,3,camber,70400,140 / 145 / 148 / 151 / 155 / 158,8,8,4,5,4,,
BURTON,Yeasayer,2026,3,flat,66000,140 / 144 / 148 / 152,8,7,4,5,5,,
CAPITA,Aeronaut,2026,6,hybrid_camber,99000,153 / 155 / 157 / 159 / 162,4,4,7,7,9,,
CAPITA,Asymulator,2026,5,hybrid_camber,74800,150 / 152 / 154 / 156 / 158,7,7,6,6,4,,
CAPITA,Birds of a Feather,2026,5,hybrid_camber,71500,140 / 143 / 146 / 148 / 150,6,7,6,6,5,,
CAPITA,Dark Horse,2026,5,hybrid_camber,55000,151 / 153 / 155 / 157,6,7,5,6,4,,
CAPITA,DOA,2026,6,hybrid_camber,89100,150 / 152 / 154 / 156 / 158 / 160,5,8,7,7,5,,
CAPITA,Indoor Survival,2026,5,hybrid_camber,82500,148 / 150 / 152 / 154 / 156,7,8,5,6,4,,
CAPITA,Mega Merc,2026,8,camber,115500,155 / 157 / 159 / 162,2,4,9,8,7,,
CAPITA,Mercury,2026,7,hybrid_camber,97200,153 / 155 / 157 / 159 / 162,4,5,8,8,7,,
CAPITA,Navigator,2026,7,hybrid_camber,82500,155 / 158 / 161 / 164,4,4,7,7,8,,
CAPITA,Outerspace Living,2026,5,hybrid_camber,71500,150 / 152 / 154 / 156 / 158,7,7,5,6,5,,
CAPITA,Paradise,2026,5,hybrid_camber,72600,141 / 143 / 145 / 147 / 149,7,7,4,6,5,,
CAPITA,Pathfinder,2026,5,camber,71500,148 / 151 / 153 / 155 / 158,6,6,6,7,5,,
CAPITA,Pathfinder Reverse,2026,5,rocker,66000,148 / 151 / 154 / 157,6,6,4,5,7,,
CAPITA,Space Metal Fantasy,2026,5,hybrid_camber,71500,141 / 145 / 147 / 149 / 151,7,7,5,6,5,,
CAPITA,Super DOA,2026,7,hybrid_camber,93500,154 / 156 / 158 / 160 / 162,4,6,8,8,6,,
CAPITA,Ultrafear,2026,4,hybrid_camber,77000,149 / 151 / 153 / 155 / 157,7,9,4,5,3,,
DEATH LABEL,BLACK FLAG,2026,2,hybrid_camber,60500,137 / 142 / 148 / 151 / 154,10,8,2,4,3,,
DEATH LABEL,BLACK FLAG DW,2026,3,double_camber,44990,137 / 142 / 148 / 151 / 154,9,7,2,5,2,,
DEATH LABEL,DEATH MACHINE,2026,4,flat,55000,148 / 151 / 153,8,7,3,5,3,,
DEATH LABEL,DEATH SERIES,2026,3,flat,71500,148 / 150 / 152 / 154,9,7,3,4,3,,
DEATH LABEL,DW,2026,3,rocker,55000,139 / 143 / 147 / 150 / 153,9,7,3,4,5,,
DEATH LABEL,DWS,2026,4,double_camber,44990,137 / 142 / 148 / 151 / 154 / 157 / 160,8,6,3,5,3,,
DEATH LABEL,FLAT SPIN,2026,3,flat,68200,138 / 143 / 148 / 150 / 153,9,7,3,4,2,,
DEATH LABEL,FLOWER,2026,4,hybrid_camber,71500,138 / 142 / 146 / 150,7,7,5,6,4,,
